id,NAME,IBLOCK_SECTION_ID,IBLOCK_SECTION_ID,NAME
120,Платье из сетки с белым футляром,72,74,Коктейльные платья
120,Платье из сетки с белым футляром,72,72,Вечерние платья
144,Платье из сетки с бежевым футляром,72,74,Коктейльные платья
144,Платье из сетки с бежевым футляром,72,72,Вечерние платья
146,Платье-трансформер из трикотажа,72,72,Вечерние платья
146,Платье-трансформер из трикотажа,72,75,Трикотажные платья
171,Платье-трансформер из трикотажа,72,72,Вечерние платья
171,Платье-трансформер из трикотажа,72,75,Трикотажные платья
190,Платье-футляр из изумрудного бархата,72,72,Вечерние платья
190,Платье-футляр из изумрудного бархата,72,76,Платья-футляры
209,Платье-футляр из черного бархата,72,72,Вечерние платья
209,Платье-футляр из черного бархата,72,76,Платья-футляры
228,Платье-футляр из белого трикотажа,73,75,Трикотажные платья
228,Платье-футляр из белого трикотажа,73,76,Платья-футляры
228,Платье-футляр из белого трикотажа,73,73,Летние платья
247,Платье-футляр из черного трикотажа,73,75,Трикотажные платья
247,Платье-футляр из черного трикотажа,73,76,Платья-футляры
247,Платье-футляр из черного трикотажа,73,73,Летние платья
267,Платье-футляр из зеленого трикотажа,73,75,Трикотажные платья
267,Платье-футляр из зеленого трикотажа,73,76,Платья-футляры
267,Платье-футляр из зеленого трикотажа,73,73,Летние платья
286,Платье мини с короткими рукавами,73,75,Трикотажные платья
286,Платье мини с короткими рукавами,73,73,Летние платья
305,Платье мини с короткими рукавами,73,75,Трикотажные платья
305,Платье мини с короткими рукавами,73,73,Летние платья
324,Платье мини с короткими рукавами,73,75,Трикотажные платья
324,Платье мини с короткими рукавами,73,73,Летние платья
343,Платье из бархата с воротником-стойкой,72,72,Вечерние платья
343,Платье из бархата с воротником-стойкой,72,76,Платья-футляры
343,Платье из бархата с воротником-стойкой,72,75,Трикотажные платья
362,Платье из бархата с воротником-стойкой ,72,72,Вечерние платья
362,Платье из бархата с воротником-стойкой ,72,76,Платья-футляры
362,Платье из бархата с воротником-стойкой ,72,75,Трикотажные платья
381,Платье  с воротником-стойкой,75,76,Платья-футляры
381,Платье  с воротником-стойкой,75,75,Трикотажные платья
400,Платье с воротником-стойкой,75,76,Платья-футляры
400,Платье с воротником-стойкой,75,75,Трикотажные платья
419,Платье миди из искусственной замши,72,75,Трикотажные платья
